Year,Original Song,Original Artist,Second Song,Second Artist,Copyright/Royalties (Y/N),Original Song YouTube Link,Second Song Youtube Link
1965,"""Ask Any Girl""",The Supremes,"""1-2-3""",Len Barry,Y,https://www.youtube.com/watch?v=7rilbe9Oy6I,https://www.youtube.com/watch?v=ZWpV2gi9AiA
1966,"""Sweet Little Sixteen""",Chuck Berry,"""Surfin U.S.A.""",The Beach Boys,Y,https://www.youtube.com/watch?v=zwgM-3mr3DI,https://www.youtube.com/watch?v=H0bhSGfKTs4
1967,"""In the Mood""",Glenn Miller,"""All You Need Is Love""",The Beatles,Y,https://www.youtube.com/watch?v=_CI-0E_jses,https://www.youtube.com/watch?v=_7xMfIp-irg
1968,"""All Day an All of the Night""",The Kinks,"""Hello, I Love You""",The Doors,Y,https://www.youtube.com/watch?v=fOGMRnKl5co,https://www.youtube.com/watch?v=8f1z-nHvt3c
1971,"""He's So Fine""",Ronnie Mack (The Chiffons),"""My Sweet Lord""",George Harrison,Y,https://www.youtube.com/watch?v=MGkhe0DW5Oc,https://www.youtube.com/watch?v=XWTvkcHlOPQ
1971,"""Feuilles Mortes""",Joseph Kozma,"""La Maritza""",Sylvie Vartan,Y,https://www.youtube.com/watch?v=n2s2tPORlW4,https://www.youtube.com/watch?v=hyL3ofoiJ_c
1972,"""Bring It On Home""",Sonny Boy Williamson,"""Bring It On Home"" ",Led Zeppelin,Y,https://www.youtube.com/watch?v=nHpqQaf0EK8,https://www.youtube.com/watch?v=kZnHavrD4vQ
1973,"""Speedy Gonzales""",Pat Boone,"""Crocodile Rock""",Elton John,Y,https://www.youtube.com/watch?v=ajEkzwf7WNY,https://www.youtube.com/watch?v=75r0nQu-hMs
1976,"""Lonely Night""",Status Quo,"""Am I Ever Gonna See Your Face Again""",The Angels,Y,https://www.youtube.com/watch?v=REsEQzdlvSg,https://www.youtube.com/watch?v=oZJxSN_I2o8
1979,"""Taj Mahal""",Jorge Ben Jor,"""Da Ya Think I'm Sexy""",Rod Stewart,Y,https://www.youtube.com/watch?v=c8AuG1W59ig,https://www.youtube.com/watch?v=Hphwfq1wLJs
1970s,"""Killing Floor""",Howlin' Wolf,"""The Lemon Song""",Led Zeppelin,Y,https://www.youtube.com/watch?v=EGIE28q3fEA,https://www.youtube.com/watch?v=8gWbKAcuzN8
1970s,"""Crescent City Blues""",Gordon Jenkins,"""Folsom Prison Blues""",Johnny Cash,Y,https://www.youtube.com/watch?v=T3M3Igjnbhs,https://www.youtube.com/watch?v=AeZRYhLDLeU
1984,"""I Want a New Drug""",Huey Lewis and the News,"""Ghostbusters""",Ray Parker Jr.,Y,https://www.youtube.com/watch?v=N6uEMOeDZsA,https://www.youtube.com/watch?v=TaV1r341wYk
1985,"""Pour  Toi""","Louis ""Loulou"" Gasté","""Feelings""",Morris Albert,Y,https://www.youtube.com/watch?v=UXZrQhuC6Gs,https://www.youtube.com/watch?v=CyBcHUe4WeQ
1985,"""You Need Love""",Muddy Waters,"""Whole Lotta Love""",Led Zeppelin,Y,https://www.youtube.com/watch?v=pM8_HuQ0b34,https://www.youtube.com/watch?v=HQmmM_qwG4k
1985,"""Sugar Don't Bite""",Sam Harris,"""Papa Don’t Preach""",Madonna,Y,https://www.youtube.com/watch?v=RkwH_wQxtuA,https://www.youtube.com/watch?v=G333Is7VPOg
1989,"""You Showed Me""",The Turtles,"""Transmitting Live from Mars""",De La Soul,Y,https://www.youtube.com/watch?v=JIxJOO02jWo,https://www.youtube.com/watch?v=U5TDufRDGDU
1990,"""I'm a Roadrunner""",Junior Walker and the All-Stars,"""Roll with It""",Steve Winwood,Y,https://www.youtube.com/watch?v=SSosQRiXiPw,https://www.youtube.com/watch?v=u_vkKozA8OI
1991,"""Leaving on a Jet Plane""",John Denver,"""Run 2""",New Order,Y,https://www.youtube.com/watch?v=k9sf7C7D3nk,https://www.youtube.com/watch?v=3gH0the23Ps
1991,"""Best of My Love""",Maurice White,"""Emotions""",Mariah Carey,Y,https://www.youtube.com/watch?v=EbwXoN-XU5I,https://www.youtube.com/watch?v=NrJEFrth27Q
1991,"""Eighties""",Killing Joke,"""Come as You Are""",Nirvana,Y,https://www.youtube.com/watch?v=x1U1Ue_5kq8,https://www.youtube.com/watch?v=9I9c20LHmzY
1992,"""I Want to Thank You""",Kevin McCord,"""Make It Happen""",Mariah Carey,Y,https://www.youtube.com/watch?v=R9wGnnwBc9M,https://www.youtube.com/watch?v=-Q6xx0JfMBI
1993,"""Under Pressure""",Queen and David Bowie,"""Ice Ice Baby""",Vanilla Ice,Y,https://www.youtube.com/watch?v=HglA72ogPCE,https://www.youtube.com/watch?v=rog8ou-ZepE
1993,"""The Air That I Breathe""",Albert Hammond and Mike Hazlewood,"""Creep""",Radiohead,Y,https://www.youtube.com/watch?v=qiL9vO8E6tE,https://www.youtube.com/watch?v=XFkzRNyygfk
1994,"""How Sweet to Be an Idiot""",Neil Innes,"""Whatever""",Oasis,Y,https://www.youtube.com/watch?v=weu6RozXb78,https://www.youtube.com/watch?v=EHfx9LXzxpw
1994,"""Love Is a Wonderful Thing""",The Isley Brothers,"""Love Is a Wonderful Thing""",Michael Bolton,Y,https://www.youtube.com/watch?v=MWh3GF8wrug,https://www.youtube.com/watch?v=H_ezMbv2sr4
1994,"""I'd Like To Teach the World to Sing (In Perfect Harmony)""",The New Seekers,"""Shakermaker""",Oasis,Y,https://www.youtube.com/watch?v=koBiXquzmr8,https://www.youtube.com/watch?v=3FpNw3286y8
1996,"""Uptight (Everything's Alright)""",Stevie Wonder,"""Step Out""",Oasis,Y,https://www.youtube.com/watch?v=kZf3Byq8oLA,https://www.youtube.com/watch?v=Vwu2uGQFCzk
1996,"""Within You Without You""",The Beatles,"""Indus""",Dead Can Dance,Y,https://www.youtube.com/watch?v=HsffxGyY4ck,https://www.youtube.com/watch?v=U2L1QyEI9Nw
1997,"""Every Breath You Take""",The Police,"""I'll Be Missing You""",P Diddy,Y,https://www.youtube.com/watch?v=OMOGaugKpzs,https://www.youtube.com/watch?v=yVX52rZipbo
1998,"""I'm Eighteen""",Alice Cooper,"""Dreamin""",Kiss,Y,https://www.youtube.com/watch?v=3N9FAvcV_tU,https://www.youtube.com/watch?v=B5NFtEsHnIw
1998,"""Feel So High""",Des'Ree,"""Got 'til It's Gone""",Janet Jackson,Y,https://www.youtube.com/watch?v=1jNNwbuDXsA,https://www.youtube.com/watch?v=uznTHSEgx4U
1999,"""The Last Time""",The Rolling Stones,"""Bitter Sweet Symphony""",The Verve,Y,https://www.youtube.com/watch?v=gdFQtbXAWdc,https://www.youtube.com/watch?v=1lyu1KKwC74
1999,"""Metal on Metal""",Kraftwerk,"""Nur Mir""",Sabrina Setlur,Y,https://www.youtube.com/watch?v=6b5XHOuxk2U,https://www.youtube.com/watch?v=9RUbxEO-A-w
2000,"""Love in Vain""",Robert Johnson,"""Love in Vain""",The Rolling Stones,Y,https://www.youtube.com/watch?v=07T3h0b93Rg,https://www.youtube.com/watch?v=yZYhhjyGXoU
2000,"""Stop Breakin' Down Blues""",Robert Johnson,"""Stop Breakin' Down Blues""",The Rolling Stones,Y,https://www.youtube.com/watch?v=NMD9wUWpKsA,https://www.youtube.com/watch?v=pgrplOjD6bY
2002,"""Pulsion""",Jacques Loussier,"""Kill You""",Eminem,Y,https://www.youtube.com/watch?v=heuGW9aCZuA,https://www.youtube.com/watch?v=D1I1x2pYMK0
2003,"""Father and Son""",Cat Stevens,"""Fight Test""",The Flaming Lips,Y,https://www.youtube.com/watch?v=P6zaCV4niKk,https://www.youtube.com/watch?v=fye1XtXQn9s
2006,"""Mbube""",Solomon Linda,"""The Lion Sleeps Tonight""",Disney,Y,https://www.youtube.com/watch?v=vVkC44LjCL0,https://www.youtube.com/watch?v=OQlByoPdG6c
2007,"""If We Can Start All Over""",Van Passel,"""You Are Not Alone""",Michael Jackson,Y,https://www.youtube.com/watch?v=8mWlxgHJ9_Q,https://www.youtube.com/watch?v=pAyKJAtDNCw
2007,"""Acidjazzed Evening""",Janne Tempest,"""Do It""",Nelly Furtado,Y,https://www.youtube.com/watch?v=amXNbaRtLpQ,https://www.youtube.com/watch?v=Asy6Cpbtwfs
2007,"""Around the World""",Daft Punk,"""I Got It from My Mama""",will.i.am,Y,https://www.youtube.com/watch?v=K0HSD_i2DvA,https://www.youtube.com/watch?v=XomQLhjCYYk
2008,"""I Wanna Be Your Boyfriend""",The Rubinoos,"""Girlfriend""",Avril Lavigne,Y,https://www.youtube.com/watch?v=prGQqbhBaM0,https://www.youtube.com/watch?v=Bg59q4puhmg
2008,"""Jealous Again""",The Black Crowes,"""Work Hard, Play Harder""",Gretchen Wilson,Y,https://www.youtube.com/watch?v=8V38Qej-3Tw,https://www.youtube.com/watch?v=EflVJA6kKf0
2009,"""I Was Made for Lovin' You""",Kiss,"""Outlaw Pete""",Bruce Springsteen,Y,https://www.youtube.com/watch?v=ZhIsAZO5gl0,https://www.youtube.com/watch?v=QRA6lWzCpCQ
2009,"""Wherever You Are A Strangely Isolated Place""",Ulrich Schnauss,"""Riad N' the Bedouins""",Guns N' Roses,Y,https://www.youtube.com/watch?v=jn604M1IfDk,https://www.youtube.com/watch?v=ln6g0s58j9o
2009,"""Mancry""",Adam Freeland,"""Party All the Time""",The Black Eyed Peas,Y,https://www.youtube.com/watch?v=02uXWTig9dU,https://www.youtube.com/watch?v=yVNphv4sW2Q
2009,"""If I Could Fly""",Joe Satriani,"""Viva la Vida""",Coldplay,Y,https://www.youtube.com/watch?v=8RJmiMq1pOA,https://www.youtube.com/results?search_query=viva+la+vida
2010,"""I'm Not Alone""",Calvin Harris,"""Yeah 3x""",Chris Brown,Y,https://www.youtube.com/watch?v=JeTE5cnkhGc,https://www.youtube.com/watch?v=3mC2ixOAivA
2010,"""Kookaburra""",Marion Sinclair,"""Down Under""",Men at Work,Y,https://www.youtube.com/watch?v=p2VitpGRalw,https://www.youtube.com/watch?v=XfR9iY5y94s
2011,"""I Need A Freak""",Sexual Harrassment,"""My Humps""",The Black Eyed Peas,Y,https://www.youtube.com/watch?v=kbEMRy-c71U,https://www.youtube.com/watch?v=WRNLZvnxioc
2012,"""Dazed and Confused""",Jake Holmes,"""Dazed and Confused""",Led Zeppelin,Y,https://www.youtube.com/watch?v=pTsvs-pAGDc,https://www.youtube.com/watch?v=w772GXG5LnE
2012,"""Baby I'm Yours""",Breakbot,"""Treasure""",Bruno Mars,Y,https://www.youtube.com/watch?v=6okxuiiHx2w,https://www.youtube.com/watch?v=nPvuNsRccVw
